Codigo,Descripcion
1,APACHE
2,BLUE BIRD
3,BUSSCAR
4,BUSSCAR GRANDE
5,BUSSCAR GRANDE
6,BUSSCAR MUFLA
7,BUSSCAR REJILLAS
8,BUSSCAR SCANNIA
9,CAIO
10,CAIO APACHE
11,CAIO HUECO GRANDE
12,CAIO MUFLA
13,CAIO MUFLA ARRIBA
14,CAIO MUFLA NUEVO
15,CAIO NUEVO
16,CAIO VIEJO
17,CATOSA
18,COMIL
19,COMIL HUECO GRANDE
20,DAEWOO
21,DAEWOO 340
22,DAEWOO GRANDE
23,DAEWOO MUFLA
24,DAEWOO VIEJO
25,HIGGER
26,HIGGER GRANDE
27,HYUNDAI
28,HYUNDAI GRANDE
29,MARCOPOLO
30,MARCOPOLO ALEGRO
31,MARCOPOLO HUECO
32,MARCOPOLO MUFLA
33,MARCOPOLO MUFLA ARRIBA
34,MARCOPOLO REJILLAS
35,MARCOPOLO SCANNIA
36,MARCOPOLO STATION
37,MARCOPOLO TORINO
38,MARCOPOLO VIEJO
39,MASA
40,MASCARELLO
41,MAXIBUS
42,MAXIBUS MUFLA
43,MERCEDEZ
44,MERCEDEZ BENZ
45,ROSMO
46,ROSMO VIEJO
47,SCANNIA BUSSCAR
48,SCANNIA
49,SCANNIA HUECO
50,SCANNIA LIMON
51,SCANNIA MARCOPOLO REJILLAS
52,VOLKSWAGEN MUFLA ARRIBA
53,YUTONG
54,VOLVO
55,YUTONG GRANDE
56,BUSSCAR HUECO
57,COMIL SCANNIA HUECO
58,CAIO MUFLA NUEVO
59,DAEWO GRANDE NUEVO
60,BLK
61,BLK 15 MTS
62,HINO
63,COMIL MUFLA
64,THOMAS
65,DAEWOO PANTALLA
66,MARCOPOLO SCANNIA REJILLAS
67,COMIL TRACASA
68,MARCOPOLO TRANSVI
69,MASCARELLO TRANSVI
70,AYCO
71,BONLUCK BUS
72,MASCARELLO GRANDE
73,COMIL HUECO CENTRO
74,SCANIA NUEVO
75,BKL DOS PIoAS
76,CAIO SAN DIEGO
77,COMIL RUIZ
78,IRIZAR
79,MERCEDEZ VIEJO
80,VOLVO B10
81,VOLVO GETSEMANo
82,MASCARELLO GETSEMANo
83,MASCARELLO 1
84,MASCARELLO 2
85,CAIO MUFLA ARRIBA SAN DIEGO
86,MASCARELLO SIN MUFLA
87,THOMAS CON RESPIRADERO
88,MARCOPOLO MERCEDEZ
89,COMIL REJILLA
90,NOVACAPRE
91,BUSSCAR SCANIA REJILLAS
92,KING LONG GUILIAL
93,CAIO MUFLA ARRIBA PUERTA
94,BLK HEREDIA
95,FOTON TRALAPA
96,KING LONG GUANACASTE
97,COMIL PEREZ
98,ASIA
99,ISUZU SAN CARLOS
100,GOLDEN DRAGON
101,CAIO ABA
102,EXPLOBUS
103,CAIO ABA PANTALLA
104,IDEALE
105,IDEALE SCANIA
106,BLK CESMAG
107,MERCEDES OREAMUNO
108,BUSSCAR JORGE HIDALGO