CodigoMopt,CodigoZona,Descripcion
01,1,SAN JOSE BARRIO MEXICO
01BS,3,San Joso-Bo Moxico (Busetas)
02,1,SAN JOSE SABANA CEMENTERIO
05,1,SAN JOSE BARRIO LA CRUZ SEMINARIO
08,1,SAN JOSo LA PERIFERICA CIRCUNVALACION
09,1,INTER. GUADA. MORAVIA TIBoS LA URUCA
09A,3,Escazo San Joso
09B,3,SANTA ANA SAN JOSo CALLE VIEJA
09C,3,SANTA ANA SAN JOSo PISTA
102,2,PURISCAL GUAYABO TABARCIA PALMICHAL
105,3,SANTA ANA LINDORA SAN ANTONIO DE BELoN
105I,3,SANTA ANA - LA VALENCIA
11,3,SAN JOSo ESCAZo RAMALES
120,5,"SAN MIGUEL DE DESAMPARADOS, RAMALES"
1224,11,SAN RAMON - RIO JESUS
124,5,SAN JOSE SAN GABRIEL DE ASERRI ACOSTA
127,3,SAN JOSE CIUDAD COLON
128,3,SANTA ANA RAMALES
140,5,"SAN JOSE, SAN ISIDRO DEL GENERAL, PALMARES, BARRIO LOS ANGELES INTERNO"
142,1,SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES
145,3,SAN JOSo-PURISCAL
16BS,1,SAN JOSE BARRIO ESCALANTE SAN PEDRO UCR
20,4,SAN JOSE TIBAS
200,11,ALAJUELA SAN JOSo
201,13,Alajuela - Grecia
210,13,ALAJUELA OROTINA SAN MATEO SAN JOSE
211,4,SAN JOSE-CIUDAD QUESADA-LA FORTUNA
220,4,"Alajuela, Barrio San Joso, Ramales"
229,11,"ALAJUELA, EL COYOL INTERNO"
230,14,Alajuela-Grecia-Naranjo
232,14,"ALAJUELA, SABANILLA, FRAIJANES, POoS"
233,11,ALAJUELA OJO DE AGUA URB. LA PAZ RINCON VENEGAS SAN ANTONIO DE BELEN LA REFORMA
244,14,Grecia Interno
25,1,SAN JOSo - CALLE BLANCOS
266,7,PALMARES - SANTIAGO
293,4,"Ciudad Quesada, Florencia, Platanar, Muelle, Aguas Zarcas "
3,4,"Alajuela, Barrio San Joso, Ramales"
30,4,GUADALUPE EL ALTO SAN JOSE
300BS,6,CARTAGO SAN JOSE POR ZAPOTE Y SAN PEDRO
301A,8,CARTAGO TRES RIOS SAN VICENTE
302,7,"CARTAGO, TURRIALBA, SAN JOSE"
303,8,CARTAGO TRES RIOS SAN DIEGO SAN JOSE
304,7,CARTAGO TRES RIOS VILLAS DE AYARCO
305,7,SAN JOSo-MONTUFAR
31,4,GUADALUPE BARRIO EL CARMEN SAN JOSE
316,6,CARTAGO PARAISO SAN JOSE
32,4,GUADALUPE BARRIO EL PILAR SAN JOSE
325,9,CARTAGO SAN RAFAEL DE OREAMUNO INTERNO
326,8,CARTAGO TRES RIOS
328,8,CARTAGO EL GUARCO TEJAR SAN ISIDRO PARQUE INDUSTRIAL
33,1,INTERLINEA GUADALUPE-MORAVIA-TIBAS-LA URUCA
331,2,CARTAGO-TOBOSI-QUEBRADILLA-TABLON
335,6,Cartago - Pitahaya - Aguacaliente
336,6,CARTAGO PARAISO
339,8,CARTAGO-OROSI-PALOMO-RIO MACHO-LA ALEGRIA-PURISIL
34,4,GUADALUPE PURRAL SAN JOSE
340,6,CARTAGO PARAISO CACHI
340A,7,CARTAGO JIMENEZ TUCURRIQUE
345,8,"CARTAGO, TRES RIOS, CONCEPCION DE TRES RIOS"
35,4,GUADALUPE MOZOTAL SAN JOSE
40,4,SAN JOSE MORAVIA RAMALES
400,16,HEREDIA SAN JOSo
400MB,16,HEREDIA TIBAS SAN JOSE
402,16,SAN JOSo HEREDIA POR LA URUCA
405,16,SAN RAFAEL DE ALAJUELA - HEREDIA
407,17,SAN JOSE-STO DGO-SAN PABLO DE HEREDIA   EXT LA SUIZA-SAN RAFAEL
41,3,"SAN JOSo, MORAVIA LOS SITIOS"
410,18,HEREDIA SAN ROQUE DE BARVA SAN LORENZO
411,18,"HEREDIA, SAN JOAQUIN, SANTA MARTHA, SAN ROQUE LAS FLORES, LA TRINIDAD"
417,19,Heredia Mercedez Norte-Sur
42,25,Bagaces - San Joso
421,16,SAN JOSo HEREDIA POR PISTA
423,16,heredia - getsemani
430,18,"HEREDIA, BARVA, SANTA BARBARA"
433,19,Heredia San Joso de la Montaoa y Ramales
436,17,"HEREDIA-SAN ISIDRO, SAN ISIDRO - SAN JOSE POR PISTA Y POR LOS ANGELES, HEREDIA-SAN PABLO"
438,19,HEREDIA-SANTO DOMINGO-SANTA ROSA
50,7,SAN JOSE-LOURDES-SANTA MARTA-EUROPA
500,21,GUANACASTE LIBERIA PLAYAS DEL COCO SAN JOSE
501,14,ALAJUELA UPALA X CAoAS O SAN CARLOS SAN JOSE
503,23,"GUANACASTE, SANTA CRUZ, TAMARINDO, HOJANCHA, SAMARA, NICOYA, NOSARA, SAN JOSE"
504,22,GUANACASTE ABANGARES LAS JUNTAS SAN JOSE
505,22,GUANACASTE INTERNO
510,25,Bagaces - San Joso
52,7,SAN JOSE-SAN PEDRO-CEDROS
54,7,SAN JOSE-SAN PEDRO-CALLE SILES
548,22,NICOYA - SAMARA CARRILLO NOSARA BELEN LA VIRGINIA
554,21,Caoas - Taboga
56,7,SAN JOSE-SAN RAMON  LA CAMPIoA
57,7,SAN JOSE-SAN PEDRO-GRANADILLA
58,2,SAN JOSo-CONCEPCIoN DE TRES RoOS
60,7,SAN JOSE- CURRIDABAT- CIPRESES
60A,7,SAN JOSE-CIPRESES DE CURRIDABAT
61,7,ZAPOTE X CORTE
610,26,"PUNTARENAS, QUEPOS, PEREZ ZELEDoN"
619,26,Putanrenas - Barranca
62,7,SAN JOSE-SABANILLA
628,26,Esparza
63,7,SAN JOSE-Bo CORDOBA-QUESADA DURAN
64,7,SAN JOSE-SAN PEDRO -SALITRILLOS
647,30,PALMAR NORTE - DOMINICAL
65,7,ZAPOTE PISTA
653,26,PUNTARENAS QUEPOS MANUEL ANTONIO
678,30,"PUNTARENAS, PUERTO JIMENEZ, PEREZ ZELEDON "
696,28,PUNTARENAS OROTINA
699BS,30,"PUNTARENAS, PUERTO JIMENEZ, SAN JOSE"
70,7,DESAMPARADOS-CURRIDABAT-SAN PEDRO-MORAVIA
701,34,LIMON SIQUIRRES SAN JOSE
702,9,Turrialba - Siquirres
703,31,LIMON SAN JOSE
705,31,Urbano Limon
708,31,LIMON-SANTA ROSA
721,31,LIMON-PUEBLO NUEVO
722,31,Limon - La Bomba (Por Cieneguita)
733,34,Guopiles Urbano (Interno)
735,34,LIMoN GUAPILES SAN JOSE
737,31,LIMON-BATAN-MATINA Y RAMALES
741,31,LIMON-COLINA-ENVACO-UNIVERSIDAD
743,31,LIMON-Bo LIMONCITO
75,1,SAN JOSE PASO ANCHO SANTA ROSA LOMA LINDA
76MB,1,SAN JOSE LUNA PARK ZOROBARU
771,25,Las Juntas de Abangares - Liberia
81,1,SAN JOSE SAN SEBASTIAN LOPEZ MATEOS
86,5,SAN JOSE POAS DE ASERRI B. SAN JOSE DE LA MONTAoA
90,5,SAN JOSo HATILLO ALAJUELITA
INTERSECTORIAL,4,"INTERSECTORIAL GUADALUPE, MORAVIA, TIBoS, LA URUCA"